link,account,brand,business_unit,date_post,talent_type,is_our_brand,views,engagements,channels,creator type,Visuals__Total Video Duration (Seconds),Visuals__Visual Aesthetic/Style,Visuals__Primary Color Palette,Visuals__Lighting Style,Talent__Main Talent Type,Talent__Number of Key Talent,Talent__Apparent Demographics (Primary),Messaging__Core Message/Overall Takeaway,Messaging__Message Originality/Uniqueness,Messaging__Primary Emotional Appeal,Messaging__Key Product/Service Benefit Highlighted,Messaging__Call to Action (CTA) Type,Meaningful & Different__Social or Cultural Impact Potential,Meaningful & Different__Emotional Depth,Meaningful & Different__Authenticity & Relatability,Hook__Analyzed Duration (Seconds),Hook__Primary Message/Question,Hook__Visual Strategy,Hook__Audio Strategy,Hook__On-Screen Text Presence,Hook__Emotional Tone Evoked,Hook__Pacing/Editing (First 3-5s),Hook__Uniqueness & Effectiveness (Overall)
https://tiktok.com/v0,pantene_official,Pantene,Beauty and Wellbeing,2024-01-10,Mikro,False,447782,9130,instagram,brand say,36,Abstract,Earthy neutrals,Dramatic/High contrast,Employee,5+,Gen Z explorer,Experience the power of time-saving convenience with our latest innovation.,Clichéd/Uninspired,Excitement,Time-saving convenience,Learn more,Low - incidental - Focuses on sustainability,Purely Functional/None,Highly Authentic/Raw,3,Showcases a desired outcome,Facial Close-up of Talent,Sudden Silence followed by sound,Yes - 'Limited Offer',Surprise,Static Shot,Confusing/Ineffective
https://tiktok.com/v1,vanish_official,Vanish,Home Care,2024-07-02,Mikro,False,689946,29211,instagram,other say,25,Gritty,Bright and saturated,Colored gels,Narrator Only (unseen),0,N/A,Experience the power of instant results with our latest innovation.,Highly Original/Unexpected,Excitement,Instant results,None,Moderate - raises awareness - Challenges gender norms,Profound & Evocative,Clearly Staged/Aspirational,5,Displays a startling fact,Shocking/Unexpected Event,Sudden Silence followed by sound,Yes - 'How to?',Urgency,Gradual Reveal,Confusing/Ineffective
https://tiktok.com/v2,pond's_official,Pond's,Beauty and Wellbeing,2024-07-11,Mega,True,797280,11761,instagram,other say,41,Retro-futuristic,"Warm tones (reds, oranges)",Dramatic/High contrast,Brand Founder/CEO,1,Gen Z explorer,Experience the power of healthier lifestyle with our latest innovation.,Standard/Expected,Joy,Healthier lifestyle,Learn more,Low - incidental - Focuses on sustainability,Moderate & Engaging,Clearly Staged/Aspirational,4,Introduces a relatable problem,Direct Product Close-up,Abrupt Music Start,No,Curiosity,Gradual Reveal,Effective but Standard
https://tiktok.com/v3,tresemmé_official,TRESemmé,Beauty and Wellbeing,2024-03-06,Mikro,True,2612159,60626,instagram,other say,44,Gritty,"Warm tones (reds, oranges)",Low-key,Influencer/KOL,5+,Middle-aged professional male,Experience the power of instant results with our latest innovation.,Fresh Take on Familiar,Excitement,Instant results,Learn more,None,Surface-level/Fleeting,Deliberately Stylized Realism,4,Poses a direct question,Problem Setup Scene,Abrupt Music Start,No,Surprise,Fast-paced/Rapid Cuts,Effective but Standard
https://tiktok.com/v4,pantene_official,Pantene,Beauty and Wellbeing,2024-01-27,Mikro,False,310918,12206,instagram,other say,34,Cartoonish,"Cool tones (blues, greens)",Natural daylight,Real Customer/User,1,Children,Experience the power of enhanced connectivity with our latest innovation.,Clichéd/Uninspired,Fear of Missing Out,Enhanced connectivity,Purchase now,High - likely to provoke discussion/change - Challenges gender norms,Surface-level/Fleeting,Highly Authentic/Raw,3,Poses a direct question,Shocking/Unexpected Event,Whispered confession,No,Anticipation,Fast-paced/Rapid Cuts,Somewhat Effective/Predictable
https://tiktok.com/v5,dove_official,Dove,Beauty and Wellbeing,2024-07-08,Makro,True,297743,11100,instagram,other say,44,Minimalist,High contrast,Low-key,Influencer/KOL,5+,Middle-aged professional male,Experience the power of long-lasting moisture with our latest innovation.,Clichéd/Uninspired,Humor,Long-lasting moisture,Purchase now,None,Profound & Evocative,Highly Authentic/Raw,4,Introduces a relatable problem,Text-heavy Introduction,Upbeat Jingle,Yes - 'Limited Offer',Empathy,Static Shot,Somewhat Effective/Predictable
https://tiktok.com/v6,sunlight_official,Sunlight,Home Care,2024-02-27,Mega,True,349337,15821,instagram,other say,40,Retro-futuristic,Neon Glow,Soft/Diffused,None,0,N/A,Experience the power of enhanced connectivity with our latest innovation.,Standard/Expected,Empathy,Enhanced connectivity,Follow social media,None,Purely Functional/None,Highly Authentic/Raw,4,Introduces a relatable problem,Facial Close-up of Talent,Whispered confession,No,Empathy,Slow/Deliberate,Highly Unique & Effective
https://tiktok.com/v7,wipol_official,Wipol,Home Care,2024-07-19,Nano,True,972245,31995,instagram,brand say,57,Retro-futuristic,Muted Vintage,Theatrical spotlights,Influencer/KOL,5+,Diverse family unit,Experience the power of premium quality with our latest innovation.,Fresh Take on Familiar,Aspiration,Premium quality,Follow social media,Moderate - raises awareness - Focuses on sustainability,Surface-level/Fleeting,Fictional/Fantastical,3,Introduces a relatable problem,Problem Setup Scene,Abrupt Music Start,Yes - 'Stop!',Calmness,Fast-paced/Rapid Cuts,Confusing/Ineffective
https://tiktok.com/v8,pond's_official,Pond's,Beauty and Wellbeing,2024-03-01,Nano,True,275013,5212,instagram,brand say,36,Vibrant,Bright and saturated,Theatrical spotlights,Influencer/KOL,3,Mixed,Experience the power of long-lasting moisture with our latest innovation.,Standard/Expected,Empowerment,Long-lasting moisture,Purchase now,High - likely to provoke discussion/change - Focuses on sustainability,Surface-level/Fleeting,Deliberately Stylized Realism,5,Introduces a relatable problem,Facial Close-up of Talent,Upbeat Jingle,Yes - 'Stop!',Curiosity,Gradual Reveal,Somewhat Effective/Predictable
https://tiktok.com/v9,rinso_official,Rinso,Home Care,2024-06-13,Makro,True,606857,26629,instagram,other say,50,Documentary-style,Earthy neutrals,Dramatic/High contrast,Brand Founder/CEO,3,Middle-aged professional male,Experience the power of premium quality with our latest innovation.,Highly Original/Unexpected,Humor,Premium quality,Sign up,High - likely to provoke discussion/change - Focuses on sustainability,Surface-level/Fleeting,Deliberately Stylized Realism,4,Showcases a desired outcome,Facial Close-up of Talent,Intriguing Sound Effects,No,Curiosity,Fast-paced/Rapid Cuts,Highly Unique & Effective
