link,account,brand,business_unit,date_post,talent_type,is_our_brand,views,duration_sec,face_present,face_emotion,text_overlay_count,scene_cut_estimate,speech_ratio,voice_sentiment,topic,format,tone,hook_present,hook_duration_sec,hook_type,word_density_wps
https://tiktok.com/v0,pantene_official,Pantene,Beauty and Wellbeing,2024-01-10,Mikro,False,447782,45,0,,1,14,0.32,calm,fragrance,storytelling,serious,True,1.0,shocking statement,
https://tiktok.com/v1,vanish_official,Vanish,Home Care,2024-07-02,Mikro,False,689946,27,2,happy,5,16,0.23,excited,laundry tips,tutorial,inspirational,True,5.0,curiosity gap,
https://tiktok.com/v2,pond's_official,Pond's,Beauty and Wellbeing,2024-07-11,Mega,True,797280,45,1,surprised,1,5,0.43,excited,skincare,talking head,calm,True,2.0,question,
https://tiktok.com/v3,tresemmé_official,TRESemmé,Beauty and Wellbeing,2024-03-06,Mikro,True,2612159,16,3,surprised,7,14,0.58,serious,fragrance,reaction,serious,True,5.0,question,1.87
https://tiktok.com/v4,pantene_official,Pantene,Beauty and Wellbeing,2024-01-27,Mikro,False,310918,50,2,neutral,3,16,0.86,calm,skincare,tutorial,serious,True,1.0,visual hook,1.69
https://tiktok.com/v5,dove_official,Dove,Beauty and Wellbeing,2024-07-08,Makro,True,297743,26,2,happy,2,4,0.38,calm,haircare,vlog,calm,True,3.0,relatable statement,
https://tiktok.com/v6,sunlight_official,Sunlight,Home Care,2024-02-27,Mega,True,349337,55,0,,4,8,0.7,neutral,cleaning hacks,vlog,inspirational,True,3.0,relatable statement,3.39
https://tiktok.com/v7,wipol_official,Wipol,Home Care,2024-07-19,Nano,True,972245,23,2,neutral,3,9,0.85,excited,laundry tips,vlog,emotional,True,5.0,visual hook,2.94
https://tiktok.com/v8,pond's_official,Pond's,Beauty and Wellbeing,2024-03-01,Nano,True,275013,59,3,surprised,2,8,0.22,calm,makeup,tutorial,dramatic,True,1.0,curiosity gap,
https://tiktok.com/v9,rinso_official,Rinso,Home Care,2024-06-13,Makro,True,606857,8,3,happy,4,12,0.35,serious,laundry tips,tutorial,dramatic,True,2.0,shocking statement,
https://tiktok.com/v10,tresemmé_official,TRESemmé,Beauty and Wellbeing,2024-06-16,Makro,True,565765,58,0,,1,4,0.77,energetic,fragrance,storytelling,funny,False,,,2.97
https://tiktok.com/v11,pantene_official,Pantene,Beauty and Wellbeing,2024-06-22,Mikro,False,509709,42,2,neutral,9,5,0.33,excited,fragrance,talking head,dramatic,False,,,
https://tiktok.com/v12,rinso_official,Rinso,Home Care,2024-04-30,Makro,True,1046593,49,1,happy,4,12,0.59,serious,cleaning hacks,before after,calm,True,5.0,question,3.48
https://tiktok.com/v13,mama_lemon_official,Mama Lemon,Home Care,2024-05-16,Makro,False,185332,16,1,angry,4,8,0.76,energetic,cleaning hacks,reaction,emotional,True,5.0,shocking statement,3.63
https://tiktok.com/v14,pantene_official,Pantene,Beauty and Wellbeing,2024-03-30,Nano,False,343863,11,1,happy,5,20,0.73,serious,makeup,aesthetic,dramatic,True,1.0,curiosity gap,2.28
https://tiktok.com/v15,tresemmé_official,TRESemmé,Beauty and Wellbeing,2024-03-04,Makro,True,700495,15,1,happy,2,11,0.35,excited,haircare,before after,calm,True,3.0,curiosity gap,
https://tiktok.com/v16,pond's_official,Pond's,Beauty and Wellbeing,2024-03-15,Mega,True,206762,26,1,sad,5,6,0.71,excited,haircare,aesthetic,serious,True,5.0,relatable statement,2.89
https://tiktok.com/v17,wardah_official,Wardah,Beauty and Wellbeing,2024-02-16,Mikro,False,148961,54,1,angry,8,18,0.74,calm,haircare,before after,emotional,True,1.0,relatable statement,3.75
https://tiktok.com/v18,molto_official,Molto,Home Care,2024-04-08,Mega,True,1676402,24,2,happy,8,9,0.71,serious,cleaning hacks,aesthetic,calm,True,4.0,visual hook,2.24
https://tiktok.com/v19,wipol_official,Wipol,Home Care,2024-03-13,Makro,True,204126,17,2,happy,9,20,0.1,,disinfecting,tutorial,calm,True,1.0,shocking statement,
https://tiktok.com/v20,biore_official,Biore,Beauty and Wellbeing,2024-01-17,Makro,False,750026,20,2,happy,8,15,0.61,energetic,fragrance,storytelling,serious,False,,,1.65
https://tiktok.com/v21,sunsilk_official,Sunsilk,Beauty and Wellbeing,2024-03-18,Nano,True,898041,33,1,surprised,10,14,0.78,neutral,makeup,storytelling,calm,True,2.0,question,2.99
https://tiktok.com/v22,wipol_official,Wipol,Home Care,2024-02-25,Makro,True,435116,47,3,angry,6,19,0.76,serious,disinfecting,reaction,serious,False,,,2.66
https://tiktok.com/v23,pantene_official,Pantene,Beauty and Wellbeing,2024-03-22,Mega,False,928127,50,1,neutral,10,4,0.29,excited,fragrance,before after,calm,False,,,
https://tiktok.com/v24,sunlight_official,Sunlight,Home Care,2024-07-13,Mega,True,485679,21,2,happy,6,17,0.57,neutral,disinfecting,storytelling,funny,True,4.0,curiosity gap,2.91
https://tiktok.com/v25,molto_official,Molto,Home Care,2024-02-05,Nano,True,579656,24,1,sad,4,20,0.89,serious,dishwashing,talking head,serious,True,3.0,relatable statement,3.31
https://tiktok.com/v26,dove_official,Dove,Beauty and Wellbeing,2024-04-14,Nano,True,436622,49,1,happy,0,20,0.44,excited,makeup,vlog,emotional,True,4.0,relatable statement,
https://tiktok.com/v27,make_over_official,Make Over,Beauty and Wellbeing,2024-01-10,Makro,False,101101,57,1,sad,4,19,0.44,calm,haircare,tutorial,serious,True,3.0,shocking statement,
https://tiktok.com/v28,rinso_official,Rinso,Home Care,2024-06-10,Mikro,True,378606,7,2,happy,2,13,0.53,serious,home fragrance,vlog,inspirational,True,4.0,curiosity gap,3.13
https://tiktok.com/v29,dove_official,Dove,Beauty and Wellbeing,2024-02-29,Mega,True,650564,39,1,sad,6,18,0.23,energetic,skincare,before after,calm,True,5.0,visual hook,
https://tiktok.com/v30,mama_lemon_official,Mama Lemon,Home Care,2024-02-13,Makro,False,1049933,35,0,,1,14,0.4,neutral,dishwashing,reaction,funny,True,3.0,curiosity gap,
https://tiktok.com/v31,biore_official,Biore,Beauty and Wellbeing,2024-04-01,Nano,False,306937,20,1,happy,0,6,0.11,energetic,skincare,tutorial,dramatic,True,1.0,relatable statement,
https://tiktok.com/v32,mama_lemon_official,Mama Lemon,Home Care,2024-01-18,Mikro,False,1054615,28,0,,4,9,0.57,calm,dishwashing,before after,emotional,True,4.0,relatable statement,1.68
https://tiktok.com/v33,biore_official,Biore,Beauty and Wellbeing,2024-02-17,Makro,False,214353,52,2,sad,1,6,0.88,calm,haircare,reaction,serious,True,1.0,visual hook,1.59
https://tiktok.com/v34,wipol_official,Wipol,Home Care,2024-03-20,Mega,True,793824,46,2,neutral,5,7,0.36,calm,laundry tips,aesthetic,calm,True,5.0,visual hook,
https://tiktok.com/v35,wardah_official,Wardah,Beauty and Wellbeing,2024-05-29,Mega,False,285983,29,3,sad,1,8,0.46,excited,wellness,talking head,calm,False,,,
https://tiktok.com/v36,sunsilk_official,Sunsilk,Beauty and Wellbeing,2024-01-12,Makro,True,551393,49,3,happy,1,15,0.28,calm,fragrance,tutorial,calm,True,5.0,visual hook,
https://tiktok.com/v37,vaseline_official,Vaseline,Beauty and Wellbeing,2024-03-18,Makro,True,2699690,51,1,neutral,0,5,0.06,,wellness,aesthetic,calm,True,2.0,relatable statement,
https://tiktok.com/v38,wipol_official,Wipol,Home Care,2024-07-03,Mega,True,2561337,59,1,sad,1,19,0.8,calm,home fragrance,storytelling,serious,True,4.0,shocking statement,3.62
https://tiktok.com/v39,tresemmé_official,TRESemmé,Beauty and Wellbeing,2024-02-23,Mega,True,1229899,29,1,angry,0,6,0.45,calm,fragrance,talking head,calm,True,5.0,curiosity gap,
https://tiktok.com/v40,so_klin_official,So Klin,Home Care,2024-04-22,Makro,False,399238,26,1,neutral,5,18,0.49,serious,home fragrance,vlog,funny,True,1.0,curiosity gap,
https://tiktok.com/v41,pantene_official,Pantene,Beauty and Wellbeing,2024-01-17,Nano,False,104513,49,2,surprised,9,16,0.88,calm,haircare,talking head,serious,False,,,1.63
https://tiktok.com/v42,wipol_official,Wipol,Home Care,2024-04-23,Makro,True,118308,21,1,surprised,4,19,0.18,calm,home fragrance,storytelling,dramatic,True,3.0,question,
https://tiktok.com/v43,biore_official,Biore,Beauty and Wellbeing,2024-02-21,Mega,False,226748,60,0,,3,14,0.62,calm,haircare,before after,calm,False,,,2.66
https://tiktok.com/v44,attack_official,Attack,Home Care,2024-06-02,Mikro,False,916075,42,0,,9,20,0.1,,laundry tips,tutorial,calm,True,5.0,question,
