link,account,brand,business_unit,date_post,talent_type,is_our_brand,views,engagements,channels,creator type,Visuals__Total Video Duration (Seconds),Visuals__Visual Aesthetic/Style,Visuals__Primary Color Palette,Visuals__Lighting Style,Talent__Main Talent Type,Talent__Number of Key Talent,Talent__Apparent Demographics (Primary),Messaging__Core Message/Overall Takeaway,Messaging__Message Originality/Uniqueness,Messaging__Primary Emotional Appeal,Messaging__Key Product/Service Benefit Highlighted,Messaging__Call to Action (CTA) Type,Meaningful & Different__Social or Cultural Impact Potential,Meaningful & Different__Emotional Depth,Meaningful & Different__Authenticity & Relatability,Hook__Analyzed Duration (Seconds),Hook__Primary Message/Question,Hook__Visual Strategy,Hook__Audio Strategy,Hook__On-Screen Text Presence,Hook__Emotional Tone Evoked,Hook__Pacing/Editing (First 3-5s),Hook__Uniqueness & Effectiveness (Overall),Audio__Primary Audio Composition,Audio__Music Presence,Audio__Music Genre/Style
https://www.tiktok.com/@ceraveindonesia/video/7601352570010930450,Dummy Value,Cerave,Beauty Wellbeing,2026-01-31,Mega,False,4417.0,20.0,Tiktok,Brand Say,6.0,"Clean, Product-focused","Blue, White",Dummy Value,,,Dummy Value,"The video presents CeraVe Moisturising Lotion as a solution for oily, dry, and problematic skin, highlighting its light texture, quick absorption, non-stickiness, and suitability for daily use.",Dummy Value,"Relief, Solution","Helps with oily, dry, and problematic skin; light texture, quick absorption, non-sticky",,No,Surface,Somewhat staged,5,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Music only,Minimal,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601465240517135623,Dummy Value,Sunsilk,Beauty Wellbeing,2026-01-31,Nano,True,116.0,11.0,Tiktok,Other Say,15.0,Casual,Warm tones,Dummy Value,Micro KOL,1,Dummy Value,"The video promotes Sunsilk Power Shot Silky Smooth hair treatment, highlighting its ability to make hair soft and untangled, boosting confidence for important occasions.",Dummy Value,"Confidence, readiness, self-care","Soft, untangled hair and increased confidence.",,No,Surface,Somewhat staged,4,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,Minimal,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601500034445708552,Dummy Value,Pwb,Beauty Wellbeing,2026-01-31,Nano,True,99.0,5.0,Tiktok,Other Say,14.0,User-Generated Content,"Warm tones, light blue",Dummy Value,Micro KOL,1,Dummy Value,"The video features a woman demonstrating how her cheeks look plump, moist, and hydrated after regularly using a Ponds Hydra America Bio-Nature gel product.",Dummy Value,"Confidence, Satisfaction","Plump, moist, and hydrated skin/cheeks",,No,Surface,Authentic,5,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,Minimal,Dummy Value
https://www.facebook.com/reel/2071552963700388,Dummy Value,Gal,Beauty Wellbeing,2026-01-31,Mega,True,184.0,3.0,Facebook,Brand Say,6.0,"Bright, Lifestyle","Warm tones (yellow, white), green, sky blue",Dummy Value,KOL,1,Dummy Value,The ad addresses the problem of skin dullness from outdoor content creation and positions Glow & Lovely Bright UV Duo Sunscreen as the solution for maintaining bright skin.,Dummy Value,"Confidence, self-care, looking good","Prevents dullness, brightens skin, sun protection (SPF 50 PA++++)",COBA SEKARANG! (Try now!),No,Surface,Somewhat staged,3,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,Minimal,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601508697461902600,Dummy Value,Sunsilk,Beauty Wellbeing,2026-01-31,Nano,True,114.0,9.0,Tiktok,Other Say,15.0,Casual,"Warm tones (beige, pink, yellow)",Dummy Value,Micro KOL,1,Dummy Value,"The video promotes Sunsilk hair cream as essential for having a good hair day and looking presentable, particularly for meeting someone notable like 'Fuji'. The speaker highlights the product as a way to ensure good hair all day.",Dummy Value,"Confidence, excitement, aspiration","Good hair for the entire day, preparation for an important meeting, confidence in appearance.",,No,Surface,Authentic,4,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,No,Dummy Value
https://www.tiktok.com/@ashilla.sikado/video/7601402006237875477,Dummy Value,Citra,Beauty Wellbeing,2026-01-31,Mega,True,24700.0,1234.0,Tiktok,Other Say,104.0,"Bright, cheerful, beauty-focused","White, yellow, pink, red, blue, green",Dummy Value,Micro KOL,1,Dummy Value,"The video promotes Citra UV Body Serum, emphasizing its ability to make skin bright, moisturized, and fragrant for up to 10 hours. It highlights the Bio-AHA ingredient for brightening within 7 days and 50x brightening power, sharing a personal endorsement.",Dummy Value,"Confidence, attractiveness, self-care, relationship satisfaction","Long-lasting fragrance (10 hours), skin brightening (within 7 days, 50x power), moisturizing, lightweight, easy to blend, quick absorption.",WAJIB COBA (Must Try),No,Moderate,Authentic,4,Dummy Value,Dummy Value,Dummy Value,No,Dummy Value,Dummy Value,Dummy Value,Voiceover with music and sound effects,Yes,Dummy Value
https://www.facebook.com/reel/1415229736937795,Dummy Value,Tresemme,Beauty Wellbeing,2026-01-31,Mega,True,118.0,3.0,Facebook,Brand Say,39.0,"Clean, modern, lifestyle","Earthy tones, browns, greens",Dummy Value,Micro KOL,1,Dummy Value,"The ad showcases how TRESemmé Keratin Smooth products help a woman maintain smooth and shiny hair for both relaxed weekend brunches and busy workdays, providing professional results quickly.",Dummy Value,"Confidence, self-care, readiness for any occasion.","Smooth, shiny hair, repairs damaged hair, professional treatment in 5 minutes, non-oily feel.","Shop now at TRESemmé's official stores, online or offline.",No,Surface,Somewhat staged,4,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Music only,Minimal,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601233862592580872,Dummy Value,Pwb,Beauty Wellbeing,2026-01-31,Nano,True,101.0,5.0,Tiktok,Other Say,15.0,User-Generated,"Warm tones, light blue, black",Dummy Value,Micro KOL,1,Dummy Value,"The video features a user showcasing a Pond's gel moisturizer, highlighting its lightweight, fast-absorbing texture and effective hydration, questioning if a gel can be this good.",Dummy Value,"Satisfaction, confidence","Lightweight, fast-absorbing, deep hydration",,No,Surface,Authentic,5,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,Minimal,Dummy Value
https://www.facebook.com/reel/1415229736937795/,Dummy Value,Tresemme,Beauty Wellbeing,2026-01-31,Mega,True,36.0,3.0,Facebook,Brand Say,40.0,Lifestyle,"Warm tones, natural lighting, red, gold, white, green",Dummy Value,KOL,1,Dummy Value,"The video demonstrates how TRESemmé Keratin Smooth products provide professional-quality hair treatment for consistently smooth and shiny hair, whether for a relaxed Sunday brunch or a busy Monday meeting. The products help repair damaged hair and provide a classy, non-oily finish.",Dummy Value,"Confidence, self-care, feeling good, versatility","Smooth hair, shiny hair, repairs damaged hair, professional treatment, non-oily finish.","Shop now at TRESemmé's official stores, online or offline.",No,Surface,Somewhat staged,5,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Music only,No,Dummy Value
https://www.tiktok.com/@suhailahlbs/video/7601464787087691026,Dummy Value,Sunsilk,Beauty Wellbeing,2026-01-31,Nano,True,207.0,18.0,Tiktok,Other Say,15.0,"Bright, Conversational","Warm tones, White",Dummy Value,Micro KOL,1,Dummy Value,"A young woman shares her pre-meeting checklist, highlighting the importance of having smooth hair, achieved by using Sunsilk Smooth hair cream, to feel confident.",Dummy Value,"Confidence, Self-care","Smooth hair, maximum smoothness",,No,Surface,Somewhat staged,4,Dummy Value,Dummy Value,Dummy Value,Yes,Dummy Value,Dummy Value,Dummy Value,Voiceover with music,No,Dummy Value
